Category: All categories

Week,enbies: (Worldwide),non-binary: (Worldwide),genderqueer: (Worldwide),agender: (Worldwide),pangender: (Worldwide)
2017-08-06,1,24,46,31,11
2017-08-13,0,17,41,27,9
2017-08-20,0,21,23,30,7
2017-08-27,1,22,35,31,6
2017-09-03,1,17,35,30,11
2017-09-10,1,24,31,22,11
2017-09-17,1,39,35,34,10
2017-09-24,0,22,28,37,8
2017-10-01,0,18,36,21,4
2017-10-08,1,21,37,62,8
2017-10-15,0,40,28,40,8
2017-10-22,0,27,30,32,9
2017-10-29,3,18,31,31,8
2017-11-05,1,29,47,33,8
2017-11-12,1,24,34,23,10
2017-11-19,1,16,34,36,13
2017-11-26,1,27,45,23,9
2017-12-03,0,20,29,24,12
2017-12-10,0,19,32,27,11
2017-12-17,0,19,27,21,14
2017-12-24,1,8,35,27,27
2017-12-31,2,20,24,29,16
2018-01-07,0,20,30,23,5
2018-01-14,1,23,30,25,10
2018-01-21,1,18,31,23,12
2018-01-28,3,21,32,21,6
2018-02-04,1,33,35,26,12
2018-02-11,0,19,30,25,13
2018-02-18,1,25,29,25,6
2018-02-25,0,21,35,23,9
2018-03-04,2,30,33,22,5
2018-03-11,2,19,30,34,9
2018-03-18,1,24,29,26,7
2018-03-25,3,26,28,31,10
2018-04-01,1,25,32,23,7
2018-04-08,0,25,28,31,6
2018-04-15,2,20,33,30,10
2018-04-22,0,31,38,25,10
2018-04-29,1,24,100,65,11
2018-05-06,1,27,55,46,6
2018-05-13,1,22,40,36,8
2018-05-20,1,27,52,32,6
2018-05-27,1,26,61,52,10
2018-06-03,0,46,85,57,9
2018-06-10,1,22,62,52,10
2018-06-17,2,23,59,31,15
2018-06-24,1,24,60,35,8
2018-07-01,0,27,47,34,14
2018-07-08,1,28,48,27,13
2018-07-15,2,33,54,32,11
2018-07-22,2,29,47,28,5
2018-07-29,0,35,39,28,6
