Category: All categories

Week,non-binary: (Worldwide),pangender: (Worldwide),Agender: (Worldwide),Genderqueer: (Worldwide),genderless: (Worldwide)
2017-08-06,21,11,29,46,27
2017-08-13,15,8,29,38,25
2017-08-20,18,7,29,29,24
2017-08-27,20,7,20,35,33
2017-09-03,20,8,26,29,30
2017-09-10,21,8,28,32,25
2017-09-17,41,10,32,30,25
2017-09-24,19,8,30,31,23
2017-10-01,19,4,22,34,21
2017-10-08,20,7,63,41,21
2017-10-15,38,7,26,30,23
2017-10-22,27,8,30,29,24
2017-10-29,20,8,25,27,21
2017-11-05,20,9,27,40,24
2017-11-12,24,8,28,30,25
2017-11-19,22,12,29,34,20
2017-11-26,20,9,25,38,25
2017-12-03,17,11,26,31,22
2017-12-10,21,7,30,28,25
2017-12-17,17,13,22,23,22
2017-12-24,13,23,28,30,24
2017-12-31,19,18,27,30,15
2018-01-07,20,9,26,26,18
2018-01-14,20,9,29,29,40
2018-01-21,22,9,25,30,23
2018-01-28,20,8,22,26,21
2018-02-04,26,10,22,34,20
2018-02-11,21,11,25,29,20
2018-02-18,20,9,25,29,21
2018-02-25,20,7,28,30,20
2018-03-04,23,7,30,33,17
2018-03-11,17,10,28,32,24
2018-03-18,19,8,26,30,17
2018-03-25,20,10,27,33,16
2018-04-01,21,8,26,34,17
2018-04-08,24,8,25,29,19
2018-04-15,23,7,24,26,16
2018-04-22,31,9,25,37,15
2018-04-29,27,8,66,100,18
2018-05-06,29,7,36,58,17
2018-05-13,24,10,36,44,21
2018-05-20,26,7,25,45,16
2018-05-27,31,11,47,61,14
2018-06-03,35,11,54,75,18
2018-06-10,25,10,46,54,16
2018-06-17,23,14,30,51,15
2018-06-24,26,8,29,55,15
2018-07-01,21,11,30,46,13
2018-07-08,25,12,30,47,13
2018-07-15,26,9,34,42,18
2018-07-22,26,7,33,43,17
2018-07-29,30,9,28,49,17
