Category: All categories

Week,women coding: (Worldwide),woman coding: (Worldwide),women coding bootcamp: (Worldwide),women learn to code: (Worldwide),women technology course: (Worldwide)
2017-08-06,100,23,0,6,0
2017-08-13,43,13,7,7,0
2017-08-20,55,20,7,7,7
2017-08-27,69,13,0,0,0
2017-09-03,65,0,13,7,6
2017-09-10,48,16,6,19,6
2017-09-17,77,19,0,10,19
2017-09-24,42,13,6,0,13
2017-10-01,61,35,6,6,0
2017-10-08,57,16,9,0,6
2017-10-15,80,13,0,0,13
2017-10-22,56,12,9,6,6
2017-10-29,38,9,6,6,0
2017-11-05,52,12,6,6,6
2017-11-12,55,9,0,9,6
2017-11-19,49,12,0,6,0
2017-11-26,52,9,12,6,0
2017-12-03,59,34,0,9,0
2017-12-10,49,12,6,6,9
2017-12-17,35,19,13,6,6
2017-12-24,31,7,0,0,0
2017-12-31,61,6,10,0,6
2018-01-07,57,18,0,12,0
2018-01-14,60,15,6,6,6
2018-01-21,50,9,15,6,6
2018-01-28,50,21,6,6,0
2018-02-04,81,12,15,0,6
2018-02-11,60,18,0,15,6
2018-02-18,27,6,0,6,6
2018-02-25,59,12,6,6,0
2018-03-04,73,12,0,12,6
2018-03-11,62,18,6,6,0
2018-03-18,47,6,6,0,6
2018-03-25,43,19,0,0,6
2018-04-01,55,12,6,0,6
2018-04-08,45,18,0,18,9
2018-04-15,66,15,18,12,6
2018-04-22,66,33,6,6,6
2018-04-29,58,18,9,6,6
2018-05-06,42,9,6,6,0
2018-05-13,45,24,9,0,9
2018-05-20,33,6,0,12,9
2018-05-27,55,12,0,6,6
2018-06-03,39,18,6,12,9
2018-06-10,38,9,6,6,6
2018-06-17,29,12,6,12,6
2018-06-24,63,12,9,0,0
2018-07-01,45,12,12,6,6
2018-07-08,60,21,6,6,12
2018-07-15,73,21,18,6,0
2018-07-22,49,15,0,6,6
2018-07-29,63,14,28,0,14
